category,page_number,from_station,to_station,coach,berth_no,berth_type,cabin,cabin_no
FIRST AC (1A),1,filter_list,filter_list,filter_list,filter_list,filter_list,filter_list,filter_list
FIRST AC (1A),1,NEW DELHI (NDLS),KANPUR CENTRAL (CNB),H1,7,Lower Berth,CABIN,C
FIRST AC (1A),1,NEW DELHI (NDLS),PRAYAGRAJ JN. (PRYJ),H2,4,Upper Berth,CABIN,A
FIRST AC (1A),1,ASANSOL JN (ASN),HOWRAH JN (HWH),H1,8,Upper Berth,CABIN,C
FIRST AC (1A),1,ASANSOL JN (ASN),HOWRAH JN (HWH),H1,7,Lower Berth,CABIN,C
SECOND AC (2A),1,filter_list,filter_list,filter_list,filter_list,filter_list,filter_list,filter_list
SECOND AC (2A),1,NEW DELHI (NDLS),PRAYAGRAJ JN. (PRYJ),A3,20,Upper Berth,,4
SECOND AC (2A),1,NEW DELHI (NDLS),KANPUR CENTRAL (CNB),A3,43,Lower Berth,,8
SECOND AC (2A),1,NEW DELHI (NDLS),KANPUR CENTRAL (CNB),A3,9,Lower Berth,,2
SECOND AC (2A),1,NEW DELHI (NDLS),PRAYAGRAJ JN. (PRYJ),A3,11,Side Lower Berth,,2
SECOND AC (2A),1,NEW DELHI (NDLS),PRAYAGRAJ JN. (PRYJ),A3,19,Lower Berth,,4
SECOND AC (2A),1,NEW DELHI (NDLS),PRAYAGRAJ JN. (PRYJ),A6,13,Lower Berth,,3
SECOND AC (2A),1,ASANSOL JN (ASN),HOWRAH JN (HWH),A4,1,Lower Berth,,1
SECOND AC (2A),1,ASANSOL JN (ASN),HOWRAH JN (HWH),A6,15,Lower Berth,,3
SECOND AC (2A),1,DHANBAD JN (DHN),HOWRAH JN (HWH),A4,23,Side Lower Berth,,4
SECOND AC (2A),1,ASANSOL JN (ASN),HOWRAH JN (HWH),A4,2,Upper Berth,,1
SECOND AC (2A),2,filter_list,filter_list,filter_list,filter_list,filter_list,filter_list,filter_list
SECOND AC (2A),2,ASANSOL JN (ASN),HOWRAH JN (HWH),A4,17,Side Lower Berth,,3
SECOND AC (2A),2,ASANSOL JN (ASN),HOWRAH JN (HWH),A4,16,Upper Berth,,3
SECOND AC (2A),2,DHANBAD JN (DHN),HOWRAH JN (HWH),A3,45,Lower Berth,,8
SECOND AC (2A),2,ASANSOL JN (ASN),HOWRAH JN (HWH),A4,46,Upper Berth,,8
SECOND AC (2A),2,ASANSOL JN (ASN),HOWRAH JN (HWH),A4,44,Upper Berth,,8
SECOND AC (2A),2,ASANSOL JN (ASN),HOWRAH JN (HWH),A4,4,Upper Berth,,1
SECOND AC (2A),2,ASANSOL JN (ASN),HOWRAH JN (HWH),A4,3,Lower Berth,,1
SECOND AC (2A),2,DHANBAD JN (DHN),ASANSOL JN (ASN),A3,39,Lower Berth,,7
SECOND AC (2A),2,PARASNATH (PNME),HOWRAH JN (HWH),A2,39,Lower Berth,,7
SECOND AC (2A),2,DHANBAD JN (DHN),HOWRAH JN (HWH),A4,20,Upper Berth,,4
SECOND AC (2A),3,filter_list,filter_list,filter_list,filter_list,filter_list,filter_list,filter_list
SECOND AC (2A),3,DHANBAD JN (DHN),HOWRAH JN (HWH),A5,15,Lower Berth,,3
SECOND AC (2A),3,PARASNATH (PNME),DHANBAD JN (DHN),A3,34,Upper Berth,,6
SECOND AC (2A),3,PARASNATH (PNME),DHANBAD JN (DHN),A3,33,Lower Berth,,6
SECOND AC (2A),3,PARASNATH (PNME),DHANBAD JN (DHN),A3,32,Upper Berth,,6
SECOND AC (2A),3,DHANBAD JN (DHN),HOWRAH JN (HWH),A4,14,Upper Berth,,3
SECOND AC (2A),3,DHANBAD JN (DHN),HOWRAH JN (HWH),A2,32,Upper Berth,,6
SECOND AC (2A),3,DHANBAD JN (DHN),HOWRAH JN (HWH),A2,33,Lower Berth,,6
SECOND AC (2A),3,ASANSOL JN (ASN),HOWRAH JN (HWH),A4,6,Side Upper Berth,,1
SECOND AC (2A),3,ASANSOL JN (ASN),HOWRAH JN (HWH),A2,16,Upper Berth,,3
SECOND AC (2A),3,PARASNATH (PNME),HOWRAH JN (HWH),A2,37,Lower Berth,,7
SECOND AC (2A),4,filter_list,filter_list,filter_list,filter_list,filter_list,filter_list,filter_list
SECOND AC (2A),4,ASANSOL JN (ASN),HOWRAH JN (HWH),A2,18,Side Upper Berth,,3
SECOND AC (2A),4,ASANSOL JN (ASN),HOWRAH JN (HWH),A2,40,Upper Berth,,7
SECOND AC (2A),4,ASANSOL JN (ASN),HOWRAH JN (HWH),A5,33,Lower Berth,,6
SECOND AC (2A),4,ASANSOL JN (ASN),HOWRAH JN (HWH),A4,18,Side Upper Berth,,3
SECOND AC (2A),4,ASANSOL JN (ASN),HOWRAH JN (HWH),A2,23,Side Lower Berth,,4
SECOND AC (2A),4,ASANSOL JN (ASN),HOWRAH JN (HWH),A2,24,Side Upper Berth,,4
SECOND AC (2A),4,ASANSOL JN (ASN),HOWRAH JN (HWH),A2,25,Lower Berth,,5
SECOND AC (2A),4,PARASNATH (PNME),DHANBAD JN (DHN),A3,31,Lower Berth,,6
SECOND AC (2A),4,ASANSOL JN (ASN),HOWRAH JN (HWH),A2,27,Lower Berth,,5
SECOND AC (2A),4,DHANBAD JN (DHN),HOWRAH JN (HWH),A2,49,Lower Berth,,9
SECOND AC (2A),5,filter_list,filter_list,filter_list,filter_list,filter_list,filter_list,filter_list
SECOND AC (2A),5,DHANBAD JN (DHN),HOWRAH JN (HWH),A2,10,Upper Berth,,2
SECOND AC (2A),5,DHANBAD JN (DHN),HOWRAH JN (HWH),A2,31,Lower Berth,,6
SECOND AC (2A),5,DHANBAD JN (DHN),HOWRAH JN (HWH),A2,12,Side Upper Berth,,2
SECOND AC (2A),5,DHANBAD JN (DHN),HOWRAH JN (HWH),A2,13,Lower Berth,,3
SECOND AC (2A),5,KANPUR CENTRAL (CNB),PRAYAGRAJ JN. (PRYJ),A2,14,Upper Berth,,3
SECOND AC (2A),5,ASANSOL JN (ASN),HOWRAH JN (HWH),A2,15,Lower Berth,,3
THIRD AC (3A),1,filter_list,filter_list,filter_list,filter_list,filter_list,filter_list,filter_list
THIRD AC (3A),1,NEW DELHI (NDLS),KANPUR CENTRAL (CNB),B2,42,Middle Berth,,6
THIRD AC (3A),1,NEW DELHI (NDLS),KANPUR CENTRAL (CNB),B6,22,Upper Berth,,3
THIRD AC (3A),1,NEW DELHI (NDLS),KANPUR CENTRAL (CNB),B4,1,Lower Berth,,1
THIRD AC (3A),1,NEW DELHI (NDLS),KANPUR CENTRAL (CNB),B2,52,Lower Berth,,7
THIRD AC (3A),1,NEW DELHI (NDLS),KANPUR CENTRAL (CNB),B6,24,Side Upper Berth,,3
THIRD AC (3A),1,NEW DELHI (NDLS),KANPUR CENTRAL (CNB),B4,21,Middle Berth,,3
THIRD AC (3A),1,NEW DELHI (NDLS),KANPUR CENTRAL (CNB),B4,2,Middle Berth,,1
THIRD AC (3A),1,NEW DELHI (NDLS),KANPUR CENTRAL (CNB),B4,4,Lower Berth,,1
THIRD AC (3A),1,GAYA JN (GAYA),HOWRAH JN (HWH),B9,4,Lower Berth,,1
THIRD AC (3A),1,DHANBAD JN (DHN),HOWRAH JN (HWH),B4,60,Lower Berth,,8
THIRD AC (3A),2,filter_list,filter_list,filter_list,filter_list,filter_list,filter_list,filter_list
THIRD AC (3A),2,ASANSOL JN (ASN),HOWRAH JN (HWH),B8,26,Middle Berth,,4
THIRD AC (3A),2,PARASNATH (PNME),DHANBAD JN (DHN),B5,13,Middle Berth,,2
THIRD AC (3A),2,ASANSOL JN (ASN),HOWRAH JN (HWH),B8,27,Upper Berth,,4
THIRD AC (3A),2,PARASNATH (PNME),DHANBAD JN (DHN),B5,15,Side Lower Berth,,2
THIRD AC (3A),2,ASANSOL JN (ASN),HOWRAH JN (HWH),B8,29,Middle Berth,,4
THIRD AC (3A),2,ASANSOL JN (ASN),HOWRAH JN (HWH),B3,28,Lower Berth,,4
