Train_Number,Source_Station,Destination_Station,Avg_Delay
2133,BDTS,BVI,15
2133,BDTS,VAPI,13
2133,BDTS,ST,19
2133,BDTS,BRC,30
2133,BDTS,RTM,22
2133,BDTS,UJN,14
2133,BDTS,SHRN,14
2133,BDTS,BPL,48
2133,BDTS,NDPM,70
2133,BDTS,ET,56
2133,BDTS,PPI,59
2133,BDTS,NU,75
2133,BDTS,JBP,82
2133,BVI,VAPI,13
2133,BVI,ST,19
2133,BVI,BRC,30
2133,BVI,RTM,22
2133,BVI,UJN,14
2133,BVI,SHRN,14
2133,BVI,BPL,48
2133,BVI,NDPM,70
2133,BVI,ET,56
2133,BVI,PPI,59
2133,BVI,NU,75
2133,BVI,JBP,82
2133,VAPI,ST,19
2133,VAPI,BRC,30
2133,VAPI,RTM,22
2133,VAPI,UJN,14
2133,VAPI,SHRN,14
2133,VAPI,BPL,48
2133,VAPI,NDPM,70
2133,VAPI,ET,56
2133,VAPI,PPI,59
2133,VAPI,NU,75
2133,VAPI,JBP,82
2133,ST,BRC,30
2133,ST,RTM,22
2133,ST,UJN,14
2133,ST,SHRN,14
2133,ST,BPL,48
2133,ST,NDPM,70
2133,ST,ET,56
2133,ST,PPI,59
2133,ST,NU,75
2133,ST,JBP,82
2133,BRC,RTM,22
2133,BRC,UJN,14
2133,BRC,SHRN,14
2133,BRC,BPL,48
2133,BRC,NDPM,70
2133,BRC,ET,56
2133,BRC,PPI,59
2133,BRC,NU,75
2133,BRC,JBP,82
2133,RTM,UJN,14
2133,RTM,SHRN,14
2133,RTM,BPL,48
2133,RTM,NDPM,70
2133,RTM,ET,56
2133,RTM,PPI,59
2133,RTM,NU,75
2133,RTM,JBP,82
2133,UJN,SHRN,14
2133,UJN,BPL,48
2133,UJN,NDPM,70
2133,UJN,ET,56
2133,UJN,PPI,59
2133,UJN,NU,75
2133,UJN,JBP,82
2133,SHRN,BPL,48
2133,SHRN,NDPM,70
2133,SHRN,ET,56
2133,SHRN,PPI,59
2133,SHRN,NU,75
2133,SHRN,JBP,82
2133,BPL,NDPM,70
2133,BPL,ET,56
2133,BPL,PPI,59
2133,BPL,NU,75
2133,BPL,JBP,82
2133,NDPM,ET,56
2133,NDPM,PPI,59
2133,NDPM,NU,75
2133,NDPM,JBP,82
2133,ET,PPI,59
2133,ET,NU,75
2133,ET,JBP,82
2133,PPI,NU,75
2133,PPI,JBP,82
2133,NU,JBP,82
2200,BDTS,BVI,9
2200,BDTS,VAPI,12
2200,BDTS,UDN,15
2200,BDTS,ST,12
2200,BDTS,BH,27
2200,BDTS,BRC,27
2200,BDTS,GDA,12
2200,BDTS,DHD,22
2200,BDTS,RTM,15
2200,BDTS,NAD,10
2200,BDTS,UJN,5
2200,BDTS,MKC,5
2200,BDTS,BRRG,16
2200,BDTS,CBK,18
2200,BDTS,RTA,15
2200,BDTS,GUNA,21
2200,BDTS,SVPI,55
2200,BDTS,GWL,23
2200,BDTS,DBA,33
2200,BDTS,DAA,32
2200,BDTS,VGLJ,21
2200,BVI,VAPI,12
2200,BVI,UDN,15
2200,BVI,ST,12
2200,BVI,BH,27
2200,BVI,BRC,27
2200,BVI,GDA,12
2200,BVI,DHD,22
2200,BVI,RTM,15
2200,BVI,NAD,10
2200,BVI,UJN,5
2200,BVI,MKC,5
2200,BVI,BRRG,16
2200,BVI,CBK,18
2200,BVI,RTA,15
2200,BVI,GUNA,21
2200,BVI,SVPI,55
2200,BVI,GWL,23
2200,BVI,DBA,33
2200,BVI,DAA,32
2200,BVI,VGLJ,21
2200,VAPI,UDN,15
2200,VAPI,ST,12
2200,VAPI,BH,27
2200,VAPI,BRC,27
2200,VAPI,GDA,12
2200,VAPI,DHD,22
2200,VAPI,RTM,15
2200,VAPI,NAD,10
2200,VAPI,UJN,5
2200,VAPI,MKC,5
2200,VAPI,BRRG,16
2200,VAPI,CBK,18
2200,VAPI,RTA,15
2200,VAPI,GUNA,21
2200,VAPI,SVPI,55
2200,VAPI,GWL,23
2200,VAPI,DBA,33
2200,VAPI,DAA,32
2200,VAPI,VGLJ,21
2200,UDN,ST,12
2200,UDN,BH,27
2200,UDN,BRC,27
2200,UDN,GDA,12
2200,UDN,DHD,22
2200,UDN,RTM,15
2200,UDN,NAD,10
2200,UDN,UJN,5
2200,UDN,MKC,5
2200,UDN,BRRG,16
2200,UDN,CBK,18
2200,UDN,RTA,15
2200,UDN,GUNA,21
2200,UDN,SVPI,55
2200,UDN,GWL,23
2200,UDN,DBA,33
2200,UDN,DAA,32
2200,UDN,VGLJ,21
2200,ST,BH,27
2200,ST,BRC,27
2200,ST,GDA,12
2200,ST,DHD,22
2200,ST,RTM,15
2200,ST,NAD,10
2200,ST,UJN,5
2200,ST,MKC,5
2200,ST,BRRG,16
2200,ST,CBK,18
2200,ST,RTA,15
2200,ST,GUNA,21
2200,ST,SVPI,55
2200,ST,GWL,23
2200,ST,DBA,33
2200,ST,DAA,32
2200,ST,VGLJ,21
2200,BH,BRC,27
2200,BH,GDA,12
2200,BH,DHD,22
2200,BH,RTM,15
2200,BH,NAD,10
2200,BH,UJN,5
2200,BH,MKC,5
2200,BH,BRRG,16
2200,BH,CBK,18
2200,BH,RTA,15
2200,BH,GUNA,21
2200,BH,SVPI,55
2200,BH,GWL,23
2200,BH,DBA,33
2200,BH,DAA,32
2200,BH,VGLJ,21
2200,BRC,GDA,12
2200,BRC,DHD,22
2200,BRC,RTM,15
2200,BRC,NAD,10
2200,BRC,UJN,5
2200,BRC,MKC,5
2200,BRC,BRRG,16
2200,BRC,CBK,18
2200,BRC,RTA,15
2200,BRC,GUNA,21
2200,BRC,SVPI,55
2200,BRC,GWL,23
2200,BRC,DBA,33
2200,BRC,DAA,32
2200,BRC,VGLJ,21
2200,GDA,DHD,22
2200,GDA,RTM,15
2200,GDA,NAD,10
2200,GDA,UJN,5
2200,GDA,MKC,5
2200,GDA,BRRG,16
2200,GDA,CBK,18
2200,GDA,RTA,15
2200,GDA,GUNA,21
2200,GDA,SVPI,55
2200,GDA,GWL,23
2200,GDA,DBA,33
2200,GDA,DAA,32
2200,GDA,VGLJ,21
2200,DHD,RTM,15
2200,DHD,NAD,10
2200,DHD,UJN,5
2200,DHD,MKC,5
2200,DHD,BRRG,16
2200,DHD,CBK,18
2200,DHD,RTA,15
2200,DHD,GUNA,21
2200,DHD,SVPI,55
2200,DHD,GWL,23
2200,DHD,DBA,33
2200,DHD,DAA,32
2200,DHD,VGLJ,21
2200,RTM,NAD,10
2200,RTM,UJN,5
2200,RTM,MKC,5
2200,RTM,BRRG,16
2200,RTM,CBK,18
2200,RTM,RTA,15
2200,RTM,GUNA,21
2200,RTM,SVPI,55
2200,RTM,GWL,23
2200,RTM,DBA,33
2200,RTM,DAA,32
2200,RTM,VGLJ,21
2200,NAD,UJN,5
2200,NAD,MKC,5
2200,NAD,BRRG,16
2200,NAD,CBK,18
2200,NAD,RTA,15
2200,NAD,GUNA,21
2200,NAD,SVPI,55
2200,NAD,GWL,23
2200,NAD,DBA,33
2200,NAD,DAA,32
2200,NAD,VGLJ,21
2200,UJN,MKC,5
2200,UJN,BRRG,16
2200,UJN,CBK,18
2200,UJN,RTA,15
2200,UJN,GUNA,21
2200,UJN,SVPI,55
2200,UJN,GWL,23
2200,UJN,DBA,33
2200,UJN,DAA,32
2200,UJN,VGLJ,21
2200,MKC,BRRG,16
2200,MKC,CBK,18
2200,MKC,RTA,15
2200,MKC,GUNA,21
2200,MKC,SVPI,55
2200,MKC,GWL,23
2200,MKC,DBA,33
2200,MKC,DAA,32
2200,MKC,VGLJ,21
2200,BRRG,CBK,18
2200,BRRG,RTA,15
2200,BRRG,GUNA,21
2200,BRRG,SVPI,55
2200,BRRG,GWL,23
2200,BRRG,DBA,33
2200,BRRG,DAA,32
2200,BRRG,VGLJ,21
2200,CBK,RTA,15
2200,CBK,GUNA,21
2200,CBK,SVPI,55
2200,CBK,GWL,23
2200,CBK,DBA,33
2200,CBK,DAA,32
2200,CBK,VGLJ,21
2200,RTA,GUNA,21
2200,RTA,SVPI,55
2200,RTA,GWL,23
2200,RTA,DBA,33
2200,RTA,DAA,32
2200,RTA,VGLJ,21
2200,GUNA,SVPI,55
2200,GUNA,GWL,23
2200,GUNA,DBA,33
2200,GUNA,DAA,32
2200,GUNA,VGLJ,21
2200,SVPI,GWL,23
2200,SVPI,DBA,33
2200,SVPI,DAA,32
2200,SVPI,VGLJ,21
2200,GWL,DBA,33
2200,GWL,DAA,32
2200,GWL,VGLJ,21
2200,DBA,DAA,32
2200,DBA,VGLJ,21
2200,DAA,VGLJ,21
2563,BJU,MFP,184
2563,BJU,CPR,207
2563,BJU,SV,219
2563,BJU,DEOS,243
2563,BJU,GKP,290
2563,BJU,BST,313
2563,BJU,ASH,406
2563,BJU,CNB,434
2563,BJU,NDLS,438
2563,MFP,CPR,207
2563,MFP,SV,219
2563,MFP,DEOS,243
2563,MFP,GKP,290
2563,MFP,BST,313
2563,MFP,ASH,406
2563,MFP,CNB,434
2563,MFP,NDLS,438
2563,CPR,SV,219
2563,CPR,DEOS,243
2563,CPR,GKP,290
2563,CPR,BST,313
2563,CPR,ASH,406
2563,CPR,CNB,434
2563,CPR,NDLS,438
2563,SV,DEOS,243
2563,SV,GKP,290
2563,SV,BST,313
2563,SV,ASH,406
2563,SV,CNB,434
2563,SV,NDLS,438
2563,DEOS,GKP,290
2563,DEOS,BST,313
2563,DEOS,ASH,406
2563,DEOS,CNB,434
2563,DEOS,NDLS,438
2563,GKP,BST,313
2563,GKP,ASH,406
2563,GKP,CNB,434
2563,GKP,NDLS,438
2563,BST,ASH,406
2563,BST,CNB,434
2563,BST,NDLS,438
2563,ASH,CNB,434
2563,ASH,NDLS,438
2563,CNB,NDLS,438
2564,NDLS,CNB,73
2564,NDLS,ASH,98
2564,NDLS,BST,168
2564,NDLS,GKP,166
2564,NDLS,DEOS,176
2564,NDLS,SV,179
2564,NDLS,CPR,212
2564,NDLS,MFP,265
2564,NDLS,BJU,348
